View Inspection,Case Number,Case Type,Inspection Type,Address,Primary Inspector,Estimated Start Time,Estimated End Time,Inspector Phone Number,Status,Order,scrape_date
BLBI-168001-2025,BL023904,Business License,BSD-Business License,1501 PREAKNESS DR COLUMBIA MO 65202,"Brown, Daryl",00:00:00,00:00:00,NA,Passed Business License,0,2025-04-11
BLDG-167860-2025,BLDC-001573-2025,Permit,BSD-Footing,201 N STADIUM BLVD STE 101 COLUMBIA MO 65203,"Lichty, Curtis",08:00:00,08:00:00,NA,Passed Permit Inspection,0,2025-04-11
BLDG-168009-2025,BLDC-002103-2024,Permit,BSD-Framing and Rough In's,4308 S BEARFIELD RD COL MO 65201,"Hombs, Josh",08:00:00,08:00:00,NA,Passed Permit Inspection,0,2025-04-11
FLT-168027-2025,BLDC-003730-2024,Permit,BSD-Lighting Controls Functional Testing,3401 BERRYWOOD DR COL MO 65201,"Brown, Daryl",00:00:00,00:00:00,NA,Completed,0,2025-04-11
BLDG-168032-2025,BLDC-004660-2023,Permit,BSD-Framing and Rough In's,4203 S PROVIDENCE RD BLDG C COL MO 65203,"Hombs, Josh",13:00:00,13:00:00,NA,Partial Pass Permit Inspection,0,2025-04-11
PLMB-168051-2025,BLDR-000055-2025,Permit,BSD-Plumbing Sewer Tap,602 N COLLEGE AVE COL MO 65201,"Kenney, Douglas",08:00:00,08:00:00,NA,Passed Permit Inspection,0,2025-04-11
SITE-168040-2025,BLDR-000119-2025,Permit,BSD-Yard Final (Residential),709 SAGEMOOR DR COLUMBIA MO 65201,"Nunley, Louis",13:00:00,13:00:00,NA,Passed Permit Inspection,0,2025-04-11
BLDG-168041-2025,BLDR-000119-2025,Permit,BSD-Residential Final (Building and Trades),709 SAGEMOOR DR COLUMBIA MO 65201,"Tiffany, Andy",13:00:00,13:00:00,NA,Passed Permit Inspection,0,2025-04-11
ELEC-168015-2025,BLDR-000282-2025,Permit,BSD-Electrical Tag,1812 WES MILLIGAN LN COL MO 65201,"Tiffany, Andy",08:00:00,08:00:00,NA,Passed Permit Inspection,0,2025-04-11
BLDG-168017-2025,BLDR-000335-2025,Permit,BSD-Insulation,1808 WES MILLIGAN LN COL MO 65201,"Tiffany, Andy",08:00:00,08:00:00,NA,Re-inspection required,0,2025-04-11
BLDG-168016-2025,BLDR-000335-2025,Permit,BSD-Framing and Rough In's,1808 WES MILLIGAN LN COL MO 65201,"Tiffany, Andy",08:00:00,08:00:00,NA,Failed Re-Inspection ($75 fee),0,2025-04-11
