View Inspection,Case Number,Case Type,Inspection Type,Address,Primary Inspector,Estimated Start Time,Estimated End Time,Inspector Phone Number,Status,Order
"BLBI-199470-2026","BL026270","Business License","BSD-Business License","1405 ILLINOIS AVE COLUMBIA MO 65203","Brown, Daryl","12:00 AM","12:00 AM","","Passed Business License",0
"BLBI-199453-2026","BL026276","Business License","BSD-Business License","1118 ROLLINS RD COLUMBIA MO 65203","Brown, Daryl","12:00 AM","12:00 AM","","Passed Business License",0
"BLBI-199187-2026","BL026282","Business License","BSD-Business License","1010 E BROADWAY STE 102 COLUMBIA MO 65201","Brown, Daryl","12:00 AM","12:00 AM","","Passed Business License",0
"BLBI-199447-2026","BL026327","Business License","BSD-Business License","3305 CLARK LN STE D COLUMBIA MO 65202","Brown, Daryl","12:00 AM","12:00 AM","","Passed Business License",0
"BLDG-199454-2026","BLDC-001320-2026","Permit","BSD-Insulation","3801 MILLER DR COL MO 65201","Hombs, Josh","09:23 AM","09:23 AM","","Partial Pass Permit Inspection",0
"BLDG-199374-2026","BLDC-001320-2026","Permit","BSD-Framing and Rough In's","3801 MILLER DR COL MO 65201","Hombs, Josh","08:00 AM","08:00 AM","","Partial Pass Permit Inspection",0
"ARBR-199460-2026","BLDC-001342-2023","Permit","BSD-Landscaping","5804 BULL RUN DR COLUMBIA MO 65201","Fritz, Steven","10:08 AM","10:08 AM","","Passed Permit Inspection",0
"SITE-199459-2026","BLDC-001342-2023","Permit","BSD-Yard Final (Commercial)","5804 BULL RUN DR COLUMBIA MO 65201","Nunley, Louis","10:07 AM","10:07 AM","","Re-inspection required",0
"MECH-199428-2026","BLDC-001773-2026","Permit","BSD-Mechanical Grease Duct/Hood","205 E NIFONG BLVD STE 200 COL MO 65203","Tiffany, Andy","01:00 PM","01:00 PM","","Cancelled ",0
"MECH-199478-2026","BLDC-001773-2026","Permit","BSD-Mechanical Grease Duct/Hood","205 E NIFONG BLVD STE 200 COL MO 65203","Tiffany, Andy","01:00 PM","01:00 PM","","Passed Permit Inspection",0
"STEC-199457-2026","BLDC-001979-2024","Permit","State Elevator Certification","5400 SINCLAIR RD COLUMBIA MO 65203","Brown, Daryl","12:00 AM","12:00 AM","","Passed Permit Inspection",0
"PLMB-199405-2026","BLDC-002068-2026","Permit","BSD-Plumbing Groundwork","2601 RANGE LINE ST STE 113 COLUMBIA MO 65202","Tiffany, Andy","01:00 PM","01:00 PM","","Partial Pass Permit Inspection",0
"BLDG-199451-2026","BLDC-003462-2026","Permit","BSD-Framing and Rough In's","1201 AMERICAN PKWY COL MO 65202","Hombs, Josh","01:00 PM","01:00 PM","","Partial Pass Permit Inspection",0
"BLDG-199455-2026","BLDC-004193-2022","Permit","BSD-Framing and Rough In's","2504 E BUSINESS LOOP 70 COLUMBIA MO 65201","Lichty, Curtis","01:00 PM","01:00 PM","","Re-inspection required (with fee)",0
"FSIR-199463-2026","BLDC-004424-2024","Permit","Final Special Inspection Report","4109 LEDGER DR COLUMBIA MO 65201","Brown, Daryl","12:00 AM","12:00 AM","","Passed Permit Inspection",0
"BLDG-199442-2026","BLDR-001169-2026","Permit","BSD-Residential Final (Building and Trades)","205 S GLENWOOD AVE COL MO 65203","Tiffany, Andy","01:00 PM","01:00 PM","","Passed Permit Inspection",0
"BLDG-199426-2026","BLDR-002093-2026","Permit","BSD-Framing and Rough In's","2400 DARLINGTON DR COLUMBIA MO 65203","Hazlett, Harlan","08:00 AM","08:00 AM","","Passed Permit Inspection",0
"BLDG-199424-2026","BLDR-002093-2026","Permit","BSD-Insulation","2400 DARLINGTON DR COLUMBIA MO 65203","Hazlett, Harlan","08:00 AM","08:00 AM","","Passed Permit Inspection",0
"BLDG-199380-2026","BLDR-002191-2026","Permit","BSD-Framing and Rough In's","700 MIKEL ST COLUMBIA MO 65203","Brown, Daryl","08:00 AM","08:00 AM","","Passed Permit Inspection",0
"BLDG-199379-2026","BLDR-002191-2026","Permit","BSD-Insulation","700 MIKEL ST COLUMBIA MO 65203","Brown, Daryl","08:00 AM","08:00 AM","","Passed Permit Inspection",0
"BLDG-199395-2026","BLDR-002194-2026","Permit","BSD-Insulation","2676 FRAZIER LOOP   COLUMBIA MO 65202","Tiffany, Andy","08:00 AM","08:00 AM","","Passed Permit Inspection",0
"BLDG-199396-2026","BLDR-002195-2026","Permit","BSD-Insulation","2672 FRAZIER LOOP   COLUMBIA MO 65202","Tiffany, Andy","08:00 AM","08:00 AM","","Passed Permit Inspection",0
"BLDG-199381-2026","BLDR-002277-2026","Permit","BSD-Framing and Rough In's","702 MIKEL ST COLUMBIA MO 65203","Brown, Daryl","08:00 AM","08:00 AM","","Passed Permit Inspection",0
"BLDG-199382-2026","BLDR-002277-2026","Permit","BSD-Insulation","702 MIKEL ST COLUMBIA MO 65203","Brown, Daryl","08:00 AM","08:00 AM","","Passed Permit Inspection",0
