View Inspection,Case Number,Case Type,Inspection Type,Address,Primary Inspector,Estimated Start Time,Estimated End Time,Inspector Phone Number,Status,Order,scrape_date
BLBI-206460-2026,BL021490,Business License,BSD-Business License,2101 CHERRY HILL DR STE 101 COLUMBIA MO 65203,"Brown, Daryl",12:00 AM,12:00 AM,,Passed Business License,0,2026-09-10
BLBI-206447-2026,BL023567,Business License,BSD-Business License,128 E NIFONG BLVD STE A COLUMBIA MO 65203,"Brown, Daryl",12:00 AM,12:00 AM,,Passed Business License,0,2026-09-10
BLBI-206474-2026,BL026616,Business License,BSD-Business License,1012 E BROADWAY APT 208 COLUMBIA MO 65201,"Brown, Daryl",12:00 AM,12:00 AM,,Passed Business License,0,2026-09-10
FIRENEWBI-206148-2026,BL026762,Business License,Fire - NEW Business Inspection,2519 BERNADETTE DR COLUMBIA MO 65203,"Gilstrap, Christopher",02:00 PM,02:00 PM,,Fire - Not Ready,0,2026-09-10
BLBI-206442-2026,BL026784,Business License,BSD-Business License,113 S Madison St Wellsville MO 63384,"Brown, Daryl",12:00 AM,12:00 AM,,Passed Business License,0,2026-09-10
ELEC-206416-2026,BLDC-001916-2025,Permit,BSD-Electrical Tag,2203 WHITE GATE DR COL MO 65202,"Hazlett, Harlan",01:00 AM,01:00 AM,,Passed Permit Inspection,0,2026-09-10
BLDG-206489-2026,BLDC-002068-2026,Permit,BSD-Framing and Rough In's,2601 RANGE LINE ST STE 113 COLUMBIA MO 65202,"Hombs, Josh",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-09-10
FLT-206508-2026,BLDC-003059-2026,Permit,BSD-Lighting Controls Functional Testing,1205 GRINDSTONE PKWY STE 101 COL MO 65201,"Brown, Daryl",12:00 AM,12:00 AM,,Passed Permit Inspection,0,2026-09-10
EROS-206476-2026,BLDC-003059-2026,Permit,BSD-Erosion Control Measures,1205 GRINDSTONE PKWY STE 101 COL MO 65201,"Brown, Daryl",12:00 AM,12:00 AM,,Scheduled (permit),0,2026-09-10
BLDG-206509-2026,BLDC-003059-2026,Permit,BSD-Final (Building and Trades),1205 GRINDSTONE PKWY STE 101 COL MO 65201,"Brown, Daryl",12:00 AM,12:00 AM,,Passed Permit Inspection,0,2026-09-10
FIRE-PIPE-206537-2026,BLDC-003066-2026,Permit,Fire - Sprinkler System Piping Inspection,201 N STADIUM BLVD STE 105 COLUMBIA MO 65203,"RIGGS, STEVEN",12:00 AM,12:00 AM,,Requested,0,2026-09-10
EROS-206477-2026,BLDC-004840-2026,Permit,BSD-Erosion Control Measures,21 CONLEY RD STE Q COL MO 65201,"Brown, Daryl",12:00 AM,12:00 AM,,Scheduled (permit),0,2026-09-10
ACI-206454-2026,BLDC-005464-2024,Permit,BSD-Above Ceiling Inspection,1300 WOODRAIL AVE COL MO 65203,"Tiffany, Andy",08:00 AM,08:00 AM,,Passed Permit Inspection,0,2026-09-10
SITE-206427-2026,BLDR-000586-2026,Permit,BSD-Sidewalk (Residential),205 WALTON HEATH DR COLUMBIA MO 65201,"Nunley, Louis",08:00 AM,08:00 AM,,Passed Permit Inspection,0,2026-09-10
BLDG-206494-2026,BLDR-000597-2026,Permit,BSD-Framing and Rough In's,4200 STONE GROVE CT COL MO 65203,"Hazlett, Harlan",01:00 PM,01:00 PM,,Re-inspection required,0,2026-09-10
BLDG-206426-2026,BLDR-002527-2026,Permit,BSD-Residential Final (Building and Trades),6012 KESTREL LOOP COLUMBIA MO 65202,"Hazlett, Harlan",08:00 AM,08:00 AM,,Re-inspection required,0,2026-09-10
BLDG-206106-2026,BLDR-002662-2026,Permit,BSD-Insulation,5720 BLACK GUM CT COLUMBIA MO 65202,"Hombs, Josh",08:00 AM,08:00 AM,,Passed Permit Inspection,0,2026-09-10
FGAS-206412-2026,BLDR-003909-2026,Permit,BSD-Fuel Gas Tag,6513 WALSBY DR COLUMBIA MO 65201,"Hazlett, Harlan",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-09-10
BLDG-206403-2026,BLDR-004626-2026,Permit,BSD-Insulation,1710 BOSCO BEL DR COL MO 65202,"Hombs, Josh",08:00 AM,08:00 AM,,Passed Permit Inspection,0,2026-09-10
BLDG-206402-2026,BLDR-004626-2026,Permit,BSD-Framing and Rough In's,1710 BOSCO BEL DR COL MO 65202,"Hombs, Josh",08:00 AM,08:00 AM,,Passed Permit Inspection,0,2026-09-10
FGAS-206423-2026,BLDR-004627-2026,Permit,BSD-Fuel Gas Pressure,3717 ROXIE CT COL MO 65202,"Hombs, Josh",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-09-10
BLDG-206422-2026,BLDR-004627-2026,Permit,BSD-Framing and Rough In's,3717 ROXIE CT COL MO 65202,"Hombs, Josh",01:00 PM,01:00 PM,,Re-inspection required,0,2026-09-10
FGAS-206424-2026,BLDR-004627-2026,Permit,BSD-Fuel Gas Tag,3717 ROXIE CT COL MO 65202,"Hombs, Josh",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-09-10
ELEC-206421-2026,BLDR-004627-2026,Permit,BSD-Electrical Tag,3717 ROXIE CT COL MO 65202,"Hombs, Josh",01:00 PM,01:00 PM,,Re-inspection required,0,2026-09-10
FGAS-206445-2026,BLDR-004745-2026,Permit,BSD-Fuel Gas Pressure,3016 DEARBORN DR COL MO 65201,"Tiffany, Andy",08:00 AM,08:00 AM,,Passed Permit Inspection,0,2026-09-10
BLDG-206441-2026,BLDR-004745-2026,Permit,BSD-Framing and Rough In's,3016 DEARBORN DR COL MO 65201,"Tiffany, Andy",08:00 AM,08:00 AM,,Passed Permit Inspection,0,2026-09-10
FGAS-206444-2026,BLDR-004745-2026,Permit,BSD-Fuel Gas Tag,3016 DEARBORN DR COL MO 65201,"Tiffany, Andy",08:00 AM,08:00 AM,,Passed Permit Inspection,0,2026-09-10
ELEC-206443-2026,BLDR-004745-2026,Permit,BSD-Electrical Tag,3016 DEARBORN DR COL MO 65201,"Tiffany, Andy",08:00 AM,08:00 AM,,Cancelled ,0,2026-09-10
ELEC-206438-2026,BLDR-004746-2026,Permit,BSD-Electrical Tag,3020 DEARBORN DR COL MO 65201,"Tiffany, Andy",08:00 AM,08:00 AM,,Cancelled ,0,2026-09-10
FGAS-206437-2026,BLDR-004746-2026,Permit,BSD-Fuel Gas Tag,3020 DEARBORN DR COL MO 65201,"Tiffany, Andy",08:00 AM,08:00 AM,,Passed Permit Inspection,0,2026-09-10
BLDG-206439-2026,BLDR-004746-2026,Permit,BSD-Framing and Rough In's,3020 DEARBORN DR COL MO 65201,"Tiffany, Andy",08:00 AM,08:00 AM,,Passed Permit Inspection,0,2026-09-10
FGAS-206436-2026,BLDR-004746-2026,Permit,BSD-Fuel Gas Pressure,3020 DEARBORN DR COL MO 65201,"Tiffany, Andy",08:00 AM,08:00 AM,,Passed Permit Inspection,0,2026-09-10
BLDG-206464-2026,BLDR-004974-2025,Permit,BSD-Residential Final (Building and Trades),815 BUCKS RUN COLUMBIA MO 65201,"Hazlett, Harlan",01:00 PM,01:00 PM,,Re-inspection required,0,2026-09-10
206538-2026,BSDP-007791-2026,Professional License,BSD-Professional License,309 W ASH ST COLUMBIA MO 65203,"Hazlett, Harlan",04:36 PM,04:36 PM,,Scheduled,0,2026-09-10
DEMO-206432-2026,DEMO-005472-2026,Permit,BSD-Sewer Cap,1712 RIBACK RD COLUMBIA MO 65201,"Tiffany, Andy",08:00 AM,08:00 AM,,Passed Permit Inspection,0,2026-09-10
ELEC-206409-2026,ELEC-003880-2026,Permit,BSD-Electrical Tag,1004 BLUE RIDGE RD COLUMBIA MO 65202,"Hombs, Josh",08:00 AM,08:00 AM,,Passed Permit Inspection,0,2026-09-10
ELEC-206379-2026,ELEC-005945-2026,Permit,BSD-Electrical Tag,1506 ANTHONY ST COL MO 65201,"Hombs, Josh",01:00 PM,01:00 PM,,Passed Permit Inspection,0,2026-09-10
MECH-206037-2026,MECH-005559-2026,Permit,BSD-Mechanical Final,108 MUMFORD DR COL MO 65203,"Hombs, Josh",08:00 AM,08:00 AM,,Passed Permit Inspection,0,2026-09-10
ONSHNI-205613-2026,OHN-060393-2026,Code Case,ONS - Health Nuisance Inspection,800 FAIRVIEW AVE COLUMBIA MO 65201,"Perkins, Marsha",02:27 PM,02:27 PM,,Scheduled,0,2026-09-10
ONSHNI-206295-2026,OHN-061110-2026,Code Case,ONS - Health Nuisance Inspection,606 S WILLIAM ST COLUMBIA MO 65201,"Perkins, Marsha",11:31 AM,11:31 AM,,Passed Code Inspection,0,2026-09-10
ONSINSPECT-206524-2026,OLM-060546-2026,Code Case,ONS - Inspection,416 HILLSDALE RD COLUMBIA MO 65201,"McClintic, Jason",01:04 PM,01:04 PM,,Passed Code Inspection,0,2026-09-10
ONSINSPECT-205924-2026,OLM-060886-2026,Code Case,ONS - Inspection,1002 TAFT ST   COLUMBIA MO 65201,"Perkins, Marsha",08:08 AM,08:08 AM,,Passed Code Inspection,0,2026-09-10
ONSINSPECT-205941-2026,OLM-061044-2026,Code Case,ONS - Inspection,4820 STAYTON FERRY LOOP COLUMBIA MO 65201,"Perkins, Marsha",07:53 AM,07:53 AM,,In Violation,0,2026-09-10
1STINSP-206510-2026,OLM-061067-2026,Code Case,ONS - Initial Inspection,1905 BLUE RIDGE RD COLUMBIA MO 65202,"McClintic, Jason",12:33 PM,12:33 PM,,In Violation,0,2026-09-10
ONSINSPECT-206097-2026,OLM-061086-2026,Code Case,ONS - Inspection,414 HILLSDALE RD COLUMBIA MO 65201,"Perkins, Marsha",12:56 PM,12:56 PM,,Passed Code Inspection,0,2026-09-10
ONSINSPECT-206067-2026,OLM-061318-2026,Code Case,ONS - Inspection,301 ROGERS ST COLUMBIA MO 65201,"Perkins, Marsha",09:44 AM,09:44 AM,,Passed Code Inspection,0,2026-09-10
1STINSP-206523-2026,OLM-061442-2026,Code Case,ONS - Initial Inspection,2307 BALLENGER LN COLUMBIA MO 65202,"McClintic, Jason",06:00 PM,06:00 PM,,Passed Code Inspection,0,2026-09-10
1STINSP-206525-2026,OLM-061455-2026,Code Case,ONS - Initial Inspection,1704 ALASKA CT COLUMBIA MO 65202,"McClintic, Jason",01:43 PM,01:43 PM,,In Violation,0,2026-09-10
